"","Both sexes
rank","region","Both","Male
rank","Male","Female
rank","Female"
"120",120,"republic of macedonia",5.2,124,7.3,105,3.2
"121",120,"iran",5.2,133,6.7,101,3.6
"122",122,"spain",5.1,115,8.2,129,2.2
"123",123,"vietnam",5,117,8,123,2.4
"124",123,"gambia",5,121,7.6,119,2.6
"125",125,"cabo verde",4.8,106,9.1,143,1.6
"126",125,"burkina faso",4.8,124,7.3,113,2.8
"127",125,"mali",4.8,126,7.2,118,2.7
"128",128,"panama",4.7,116,8.1,151,1.3
"129",128,"cyprus",4.7,119,7.7,144,1.5
"130",128,"italy",4.7,121,7.6,137,1.9
"131",128,"chad",4.7,123,7.4,127,2.3
"132",128,"c(""guinea"", ""bissau"")",4.7,126,7.2,123,2.4
"133",128,"guinea",4.7,128,7.1,123,2.4
"134",134,"qatar",4.6,138,5.7,154,1.2
"135",135,"liberia",4.3,131,6.8,135,2
"136",135,"indonesia",4.3,156,3.7,70,4.9
"137",137,"mexico",4.2,128,7.1,141,1.7
"138",137,"tajikistan",4.2,138,5.7,113,2.8
"139",139,"dominican republic",4.1,137,6.1,132,2.1
"140",140,"greece",3.8,135,6.3,151,1.3
"141",140,"botswana",3.8,138,5.7,135,2
"142",142,"yemen",3.7,151,4.3,108,3
"143",143,"niger",3.5,143,5.3,137,1.9
"144",144,"georgia",3.2,138,5.7,159,1
"145",144,"peru",3.2,149,4.4,132,2.1
"146",144,"united arab emirates",3.2,155,3.9,141,1.7
"147",147,"ghana",3.1,153,4.2,129,2.2
"148",148,"south africa",3,142,5.5,158,1.1
"149",148,"malaysia",3,147,4.7,144,1.5
"150",150,"armenia",2.9,144,5,162,0.9
"151",150,"philippines",2.9,146,4.8,154,1.2
"152",150,"mauritania",2.9,148,4.5,144,1.5
"153",153,"haiti",2.8,159,3.3,123,2.4
"154",154,"namibia",2.7,149,4.4,148,1.4
"155",155,"belize",2.6,145,4.9,169,0.5
"156",155,"venezuela",2.6,151,4.3,159,1
"157",157,"tunisia",2.4,158,3.4,148,1.4
"158",158,"barbados",2.3,154,4.1,166,0.6
"159",158,"bahamas",2.3,157,3.6,151,1.3
"160",160,"jordan",2,163,2.2,137,1.9
"161",161,"algeria",1.9,162,2.3,144,1.5
"162",162,"libya",1.8,163,2.2,148,1.4
"163",163,"egypt",1.7,160,2.4,154,1.2
"164",163,"azerbaijan",1.7,160,2.4,159,1
"165",163,"iraq",1.7,166,1.2,132,2.1
"166",166,"jamaica",1.2,165,1.8,164,0.7
"167",167,"oman",1,166,1.2,166,0.6
"168",168,"lebanon",0.9,166,1.2,166,0.6
"169",168,"kuwait",0.9,169,1,163,0.8
"170",170,"syria",0.4,170,0.7,170,0.2
"171",170,"saudi arabia",0.4,171,0.6,170,0.2
