"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","USDEX","In 2015 constant prices at 2015 USD exchange rates","2010","2010","USD","US Dollar","0","Units","2015","2015",46293,,
"BEL","Belgium","USDEX","In 2015 constant prices at 2015 USD exchange rates","2011","2011","USD","US Dollar","0","Units","2015","2015",46705,,
"BEL","Belgium","USDEX","In 2015 constant prices at 2015 USD exchange rates","2012","2012","USD","US Dollar","0","Units","2015","2015",47068,,
"BEL","Belgium","USDEX","In 2015 constant prices at 2015 USD exchange rates","2013","2013","USD","US Dollar","0","Units","2015","2015",47414,,
"BEL","Belgium","USDEX","In 2015 constant prices at 2015 USD exchange rates","2014","2014","USD","US Dollar","0","Units","2015","2015",47580,,
"CAN","Canada","USDEX","In 2015 constant prices at 2015 USD exchange rates","2000","2000","USD","US Dollar","0","Units","2015","2015",40165,,
"CAN","Canada","USDEX","In 2015 constant prices at 2015 USD exchange rates","2001","2001","USD","US Dollar","0","Units","2015","2015",40000,,
"CAN","Canada","USDEX","In 2015 constant prices at 2015 USD exchange rates","2002","2002","USD","US Dollar","0","Units","2015","2015",39570,,
"CAN","Canada","USDEX","In 2015 constant prices at 2015 USD exchange rates","2003","2003","USD","US Dollar","0","Units","2015","2015",39574,,
"CAN","Canada","USDEX","In 2015 constant prices at 2015 USD exchange rates","2004","2004","USD","US Dollar","0","Units","2015","2015",40636,,
"CAN","Canada","USDEX","In 2015 constant prices at 2015 USD exchange rates","2005","2005","USD","US Dollar","0","Units","2015","2015",42376,,
"CAN","Canada","USDEX","In 2015 constant prices at 2015 USD exchange rates","2006","2006","USD","US Dollar","0","Units","2015","2015",43718,,
"CAN","Canada","USDEX","In 2015 constant prices at 2015 USD exchange rates","2007","2007","USD","US Dollar","0","Units","2015","2015",44772,,
"CAN","Canada","USDEX","In 2015 constant prices at 2015 USD exchange rates","2008","2008","USD","US Dollar","0","Units","2015","2015",45619,,
